iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BHS,North America,Bahamas,2022-03-10,33188.0,8.0,5.143,771.0,0.0,0.0,83615.09,20.155,12.957,1942.486,0.0,0.0,0.56,,,,,,,,,223430.0,243.0,562.918,0.612,187.0,0.471,0.028,36.4,tests performed,331157.0,164099.0,155124.0,23368.0,,260.0,83.43,41.34,39.08,5.89,655.0,74.0,0.019,62.96,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2022-03-10,533748.0,1483.0,1733.571,1462.0,0.0,0.857,305296.303,848.255,991.578,836.243,0.0,0.49,0.7,,,,,,,,,9484931.0,15724.0,5425.246,8.994,9495.0,5.431,0.183,5.5,units unclear,,,,,,,,,,,,,,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2022-03-11,1948798.0,327.0,433.286,29100.0,3.0,6.0,11718.323,1.966,2.605,174.981,0.018,0.036,0.37,,,,,,,,,13594738.0,13801.0,81.747,0.083,17835.0,0.107,0.023,42.8,tests performed,219085724.0,126034012.0,88604615.0,4632656.0,605330.0,888211.0,131.74,75.79,53.28,2.79,5341.0,290134.0,0.174,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2022-03-10,56679.0,128.0,139.143,323.0,0.0,1.0,197001.821,444.896,483.625,1122.666,0.0,3.476,0.77,,,,,,,,,596122.0,771.0,2071.969,2.68,917.0,3.187,0.152,6.6,tests performed,310825.0,160570.0,150255.0,,53.0,98.0,108.03,55.81,52.22,,341.0,33.0,0.011,42.59,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2022-03-11,935684.0,1497.0,1452.714,6618.0,10.0,13.857,99088.974,158.532,153.843,700.846,1.059,1.467,0.46,,,,,,,,,12601257.0,4118.0,1334.474,0.436,12948.0,1.371,0.102,9.8,tests performed,,,,,,,,,,,,,,23.15,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2022-03-10,3629671.0,20549.0,8298.857,30380.0,67.0,23.286,312032.908,1766.541,713.43,2611.686,5.76,2.002,0.85,185.0,15.904,1970.0,169.356,,,1003.0,86.225,32067877.0,36186.0,2756.788,3.111,33895.0,2.914,0.234,4.3,tests performed,25127401.0,9224154.0,9101883.0,7229260.0,20678.0,8328.0,216.01,79.3,78.25,62.15,716.0,518.0,0.004,26.85,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2022-03-10,57003.0,27.0,23.0,652.0,0.0,0.143,140777.694,66.681,56.802,1610.214,0.0,0.353,0.49,,,,,,,,,507809.0,,1254.113,,835.0,2.062,0.031,32.7,tests performed,460853.0,234810.0,207253.0,39225.0,,357.0,113.81,57.99,51.18,9.69,882.0,63.0,0.016,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2022-03-10,26575.0,0.0,0.0,163.0,0.0,0.0,2134.361,0.0,0.0,13.091,0.0,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,2022-03-10,11850.0,107.0,30.857,124.0,1.0,0.143,190845.842,1723.249,496.958,1997.037,16.105,2.301,,,,,,,,,,,,,,,,,,,125085.0,47336.0,46247.0,31502.0,,106.0,201.45,76.24,74.48,50.73,1707.0,54.0,0.087,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BTN,Asia,Bhutan,2022-03-10,16277.0,331.0,347.286,7.0,0.0,0.143,20870.624,424.413,445.295,8.976,0.0,0.183,1.16,,,,,,,,,1711669.0,13010.0,2194.729,16.682,8392.0,10.76,0.036,27.8,samples tested,1592652.0,596568.0,574736.0,,,1170.0,204.21,76.49,73.69,,1500.0,21.0,0.003,73.61,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2022-03-10,896744.0,429.0,363.429,21472.0,2.0,2.714,75783.728,36.255,30.713,1814.596,0.169,0.229,0.5,46.0,3.887,284.0,24.001,,,,,3915409.0,5873.0,330.891,0.496,4703.0,0.397,0.052,19.3,tests performed,12720136.0,6969101.0,5660552.0,1085444.0,17528.0,25372.0,107.5,58.9,47.84,9.17,2144.0,5398.0,0.046,50.0,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022-03-10,7633.0,0.0,3.286,31.0,0.0,0.0,288636.793,0.0,124.247,1172.244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445.0,,,,,,,,,,,,,77.79,,,,,
BIH,Europe,Bosnia and Herzegovina,2022-03-10,372962.0,145.0,159.429,15610.0,11.0,15.0,114284.261,44.431,48.853,4783.268,3.371,4.596,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2022-03-10,263950.0,0.0,0.0,2619.0,0.0,0.0,110105.788,0.0,0.0,1092.506,0.0,0.0,0.68,,,,,,,,,,,,,,,,,,1438728.0,1438728.0,1228164.0,158470.0,,1801.0,60.02,60.02,51.23,6.61,751.0,1801.0,0.075,13.89,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2022-03-11,29259206.0,61105.0,50362.0,654380.0,613.0,508.0,136729.452,285.546,235.344,3057.944,2.865,2.374,0.74,,,,,,,,,70923215.0,,331.427,,121418.0,0.567,,,tests performed,400997069.0,179370509.0,157362922.0,69341986.0,460997.0,883459.0,187.39,83.82,73.54,32.4,4128.0,179643.0,0.084,69.91,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,2022-03-10,6091.0,0.0,0.0,62.0,0.0,0.0,200210.367,0.0,0.0,2037.932,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,2022-03-10,104022.0,3849.0,3926.857,156.0,1.0,3.0,235593.343,8717.375,8893.709,353.315,2.265,6.795,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2022-03-11,1109581.0,1693.0,1754.714,36028.0,33.0,44.571,160886.836,245.481,254.43,5223.982,4.785,6.463,0.71,416.0,60.319,3175.0,460.368,,,,,9339153.0,16351.0,1354.157,2.371,15016.0,2.177,0.117,8.6,tests performed,4322396.0,,2052968.0,702116.0,2468.0,1871.0,62.67,,29.77,10.18,271.0,,,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2022-03-10,20751.0,0.0,0.0,375.0,0.0,0.0,965.293,0.0,0.0,17.444,0.0,0.0,0.16,,,,,,,,,324773.0,41.0,15.108,0.002,291.0,0.014,0.0,624.3,tests performed,2330052.0,2117997.0,1152574.0,,,1371.0,10.84,9.85,5.36,,64.0,651.0,0.003,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2022-03-11,38238.0,29.0,14.857,38.0,0.0,0.0,3120.087,2.366,1.212,3.101,0.0,0.0,0.71,,,,,,,,,1425611.0,571.0,116.325,0.047,1949.0,0.159,0.008,129.8,tests performed,11502.0,9738.0,9181.0,,,50.0,0.09,0.08,0.07,,4.0,46.0,0.0,25.0,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2022-03-11,133501.0,238.0,304.143,3044.0,1.0,1.571,7877.817,14.044,17.947,179.625,0.059,0.093,1.07,,,,,,,,,2893373.0,1984.0,170.736,0.117,3088.0,0.182,0.104,9.6,tests performed,36072945.0,14713685.0,13870644.0,8541767.0,30416.0,73103.0,212.86,86.82,81.85,50.4,4314.0,12949.0,0.076,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2022-03-10,119322.0,0.0,0.0,1926.0,0.0,0.0,4382.929,0.0,0.0,70.746,0.0,0.0,0.49,,,,,,,,,2507964.0,,92.122,,,,,,tests performed,1272574.0,1073258.0,813063.0,,,721.0,4.67,3.94,2.99,,26.0,665.0,0.002,22.22,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2022-03-10,3361367.0,4927.0,5726.571,37261.0,54.0,59.429,88299.219,129.427,150.43,978.803,1.419,1.561,0.94,522.0,13.712,4299.0,112.93,,,,,58655426.0,41872.0,1540.81,1.1,42874.0,1.126,0.134,7.5,tests performed,81581032.0,32617149.0,31008153.0,17955730.0,32712.0,33495.0,214.3,85.68,81.45,47.17,880.0,4182.0,0.011,68.98,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2022-03-10,55906.0,2.0,2.429,401.0,0.0,0.0,99494.395,3.559,4.322,713.649,0.0,0.0,0.7,,,,,,,,,,287.0,,0.511,,,,,tests performed,711323.0,352929.0,300099.0,,,926.0,126.59,62.81,53.41,,1648.0,86.0,0.015,58.33,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2022-03-10,19811.0,438.0,62.571,18.0,0.0,0.143,297918.734,6586.664,940.952,270.685,0.0,2.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2022-03-10,14320.0,0.0,13.571,113.0,0.0,0.0,2910.577,0.0,2.758,22.968,0.0,0.0,0.27,,,,,,,,,85587.0,,17.396,,127.0,0.026,0.043,23.4,tests performed,900298.0,819313.0,780030.0,,,6366.0,18.3,16.65,15.85,,1294.0,6305.0,0.128,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2022-03-10,7260.0,0.0,0.429,190.0,0.0,0.0,429.205,0.0,0.025,11.233,0.0,0.0,0.29,,,,,,,,,202215.0,,11.955,,46.0,0.003,0.009,107.2,tests performed,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2022-03-10,3249890.0,19097.0,18155.429,43527.0,244.0,120.571,169156.192,993.995,944.987,2265.573,12.7,6.276,0.79,1011.0,52.622,,,401.0,20.872,2271.0,118.205,33576200.0,95850.0,1747.635,4.989,82337.0,4.286,0.22,4.5,tests performed,49401767.0,17828485.0,17283367.0,14864259.0,74696.0,73829.0,257.14,92.8,89.96,77.37,3843.0,3621.0,0.019,32.87,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,44882.4,18.56,51.29,2336.121
CHN,Asia,China,2022-03-10,112940.0,790.0,383.143,4636.0,0.0,0.0,78.202,0.547,0.265,3.21,0.0,0.0,1.48,,,,,,,,,,,,,,,,,,3180060000.0,,,,5076000.0,4721857.0,220.19,,,,3269.0,,,64.35,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2022-03-10,6074874.0,719.0,971.429,139220.0,31.0,40.143,118497.5,14.025,18.949,2715.648,0.605,0.783,0.48,,,,,,,,,33392633.0,27054.0,651.362,0.528,24654.0,0.481,0.045,22.2,tests performed,78423261.0,41522429.0,33973503.0,9147317.0,,138935.0,152.97,80.99,66.27,17.84,2710.0,21099.0,0.041,59.26,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2022-03-10,8057.0,6.0,3.429,160.0,0.0,0.0,9068.541,6.753,3.859,180.088,0.0,0.0,0.6,,,,,,,,,6227.0,,7.009,,,,,,tests performed,637961.0,341102.0,301218.0,,,0.0,71.81,38.39,33.9,,0.0,0.0,0.0,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2022-03-10,24041.0,0.0,3.0,378.0,0.0,0.0,4249.766,0.0,0.53,66.82,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,2022-03-10,2.0,0.0,0.0,,,,113.817,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,27717.0,14930.0,12787.0,,,39.0,157.73,84.96,72.77,,2219.0,38.0,0.216,,17572.0,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,2022-03-10,821813.0,1368.0,1285.857,8149.0,7.0,10.857,159915.261,266.197,250.213,1585.701,1.362,2.113,0.76,,,,,,,,,2954022.0,9162.0,574.818,1.783,8903.0,1.732,0.157,6.4,people tested,9582303.0,4235270.0,3859818.0,1487215.0,,33253.0,186.46,82.41,75.11,28.94,6471.0,5615.0,0.109,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
