userid,recipeid,rating
196,612300,2
112,9240414,4
160,8379079,3
103,7162466,3
175,5696870,4
122,4230891,4
137,6968117,3
165,4478844,1
143,3466684,5
148,7846344,2
171,4922848,1
161,6863974,2
189,7589907,3
145,122692,5
191,7826671,5
165,3359654,3
194,5395041,1
103,816381,2
118,4393783,2
186,480910,3
192,6697825,4
118,7794883,2
136,4026541,2
151,560063,4
108,3768347,3
177,6161250,2
184,567544,4
198,7233135,5
119,2538760,2
167,5810816,4
197,6565670,2
145,2341660,3
163,1710732,4
139,248943,2
106,2200935,1
182,7407821,4
132,3723804,4
142,7377617,3
176,2579246,4
182,6686259,4
124,8162008,1
111,4147481,2
142,2891074,4
193,6563472,3
141,9216641,1
180,2763260,2
176,6061346,2
193,8850300,2
194,4981074,5
176,2441660,3
166,8837508,1
138,2310817,2
183,8289367,1
160,8354730,4
178,125222,5
102,6030873,2
136,2611346,2
146,6179574,4
166,8557207,5
100,4573093,4
167,3965324,5
192,4035212,3
108,3349363,3
185,163402,1
148,4180666,2
156,3346139,3
169,5905920,4
166,7459234,4
190,6589169,2
169,5518772,5
165,4963984,3
138,8658671,4
166,5272305,2
119,7014202,4
120,2997312,3
190,389082,5
191,8541889,4
150,2738683,3
135,1305141,1
128,1426457,3
159,1476802,4
180,2825494,1
170,7129368,4
148,2351705,5
191,1346804,4
162,2611060,5
120,3935554,1
115,8176155,4
141,8067208,5
160,5101018,5
113,5387936,4
198,2402178,3
100,768623,5
179,119266,2
192,6831065,2
178,4529655,5
155,4648518,2
188,2067288,3
175,7606557,3
103,8595927,4
126,1481291,2
130,5829215,5
192,2631357,3
165,8082448,3
162,5522568,3
142,4593411,1
150,1406880,3
171,3466980,3
168,545686,4
157,4919466,2
154,4516352,5
184,266886,4
117,5316960,4
186,5819086,1
147,2687577,4
108,6598983,4
129,7683922,2
190,8841356,2
113,4595994,3
109,2555401,2
168,4542050,2
128,2130690,2
164,7406844,2
164,3572670,3
164,5916459,2
159,4728980,3
146,7878288,4
140,4880214,3
188,7099563,2
184,7976732,3
179,1179563,3
100,461965,5
155,9233353,4
155,3369625,4
119,8316717,2
176,7152346,1
119,7958080,3
169,8800386,2
135,6998305,3
157,8194266,3
193,2434279,3
160,1546747,4
164,8253018,5
183,4307622,5
123,5900295,5
137,8364641,3
159,5846494,1
199,4427760,2
156,6733992,1
193,4190436,2
193,4261490,4
104,7177539,1
199,8312155,5
191,9227672,2
179,1290296,1
172,5868992,5
103,5545322,4
103,1134233,5
133,3362552,4
126,3602886,3
130,8028907,4
164,4980683,4
123,1417617,2
115,1111133,3
196,508820,1
131,3331923,4
197,3005342,2
110,7898515,4
112,6297174,2
196,6934432,3
150,4093402,2
100,7515411,3
176,5916498,4
103,5647392,4
122,6762236,2
169,5461292,2
111,6100803,4
149,9246006,4
110,2423746,2
174,6572158,5
151,4471333,4
118,2510720,1
135,9249038,1
100,3093027,4
110,2691759,2
115,3852831,2
124,2074940,2
173,1707802,5
105,6972292,4
161,7644381,3
125,2905124,3
148,7608984,3
162,567078,5
117,6979964,1
189,1976069,3
117,4971470,2
160,8886166,4
120,8245426,1
177,2009790,5
161,661617,4
133,7720716,4
111,701935,1
191,8521943,3
178,8306401,1
124,639264,3
128,4554676,3
146,8468902,3
145,3057428,2
173,3019073,1
100,376283,5
135,4664280,2
111,2507481,1
158,3049306,2
119,3355370,3
145,8411556,2
187,1090600,2
118,6666394,3
149,5212197,3
131,2572991,5
150,2450488,4
188,7750070,2
131,1906227,1
191,3820899,2
178,2811684,4
168,8637768,3
156,1400537,4
172,4579617,3
186,2047466,4
189,8267744,3
175,4196871,2
138,1686332,3
115,1051445,2
143,1812919,4
150,7067014,2
126,2510315,3
178,5447087,4
195,5124977,2
196,613445,3
164,5813856,1
191,2539784,3
175,1559898,4
157,1500995,4
168,8392802,3
110,6090137,3
100,5842381,4
158,8281861,2
137,8980328,3
184,642431,2
100,8541157,5
157,6688091,3
195,1642146,2
141,7276567,5
111,8689572,1
102,2372878,2
108,3601663,5
146,3785591,4
187,8024980,1
189,4615090,4
