ObjectId,Country,ISO2,ISO3,Indicator,Unit,Measure,Date,Value
57,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D01/05/1993,-15.66
58,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D01/05/1993,-15.39
59,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D01/05/1993,-26.2
60,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D01/05/1993,5.82
61,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D01/05/1993,-8.52
62,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D01/05/1993,-83.57
63,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D01/05/1993,-4.45
64,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D01/05/1993,-16.63
65,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D01/05/1993,-16.95
66,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D01/05/1993,76.21
67,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D01/05/1993,-24.36
68,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D01/05/1993,-4.62
69,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D01/05/1993,-41.04
70,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D01/05/1993,-5.22
71,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D01/05/1993,-19.66
72,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D01/05/1993,-14.68
73,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Adriatic Sea,D01/06/1993,-78.54
74,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D01/06/1993,81.71
75,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Yellow Sea,D01/06/1993,-37.54
76,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D01/14/1993,7.32
77,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D01/15/1993,30.4
78,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D01/15/1993,-3.3
79,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D01/15/1993,-6.95
80,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D01/15/1993,-40.76
81,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D01/15/1993,-18.7
82,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D01/15/1993,1.82
83,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D01/15/1993,-20.52
84,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D01/15/1993,-49.67
85,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D01/15/1993,-7.15
86,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D01/15/1993,-43.75
87,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D01/15/1993,229.11
88,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D01/15/1993,-33.26
89,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D01/15/1993,-53.49
90,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D01/15/1993,1.18
91,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D01/15/1993,-31.44
92,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D01/15/1993,-10.42
93,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D01/15/1993,-22.86
94,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D01/15/1993,-19.68
95,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Yellow Sea,D01/15/1993,-58.64
96,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Adriatic Sea,D01/16/1993,-52.24
97,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D01/16/1993,-10.05
98,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D01/16/1993,-7.99
99,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D01/16/1993,-8.73
100,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D01/24/1993,8.7
101,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D01/24/1993,379.2
102,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D01/24/1993,-30.75
103,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D01/24/1993,-57.16
104,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D01/24/1993,11.62
105,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D01/25/1993,-19.25
106,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D01/25/1993,-14.29
107,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D01/25/1993,-29.1
108,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D01/25/1993,-8.48
109,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D01/25/1993,-9.82
110,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D01/25/1993,-90.97
111,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D01/25/1993,-11.95
112,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D01/25/1993,-35.93
113,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D01/25/1993,-61.45
114,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D01/25/1993,144.51
115,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D01/25/1993,-33.96
116,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D01/25/1993,-75.59
117,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D01/25/1993,-96.82
118,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D01/25/1993,-35.34
119,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D01/25/1993,-13.12
120,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D01/25/1993,-24.96
121,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D01/25/1993,-25.08
122,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Yellow Sea,D01/26/1993,-96.14
123,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D02/04/1993,494.5
124,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D02/04/1993,80.81
125,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Adriatic Sea,D02/05/1993,-85.34
126,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D02/05/1993,-4
127,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D02/05/1993,-23.15
128,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D02/05/1993,-42.15
129,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D02/05/1993,-7.26
130,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D02/05/1993,-19.1
131,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D02/05/1993,-19.78
132,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D02/05/1993,23.38
133,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D02/05/1993,-66.27
134,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D02/05/1993,-18.15
135,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D02/05/1993,-36.03
136,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D02/05/1993,-82.65
137,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D02/05/1993,-35.76
138,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D02/05/1993,-31.99
139,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D02/05/1993,-37.34
140,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D02/05/1993,-18.38
141,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D02/05/1993,-14.12
142,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D02/05/1993,-29.56
143,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D02/05/1993,-29.18
144,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D02/06/1993,-35.69
145,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D02/13/1993,8.5
146,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D02/13/1993,316.4
147,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D02/13/1993,-56.35
148,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D02/13/1993,-35.49
149,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D02/13/1993,-14.28
150,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D02/13/1993,48.21
151,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D02/13/1993,-29.86
152,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D02/13/1993,-15.54
153,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D02/13/1993,-73.58
154,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D02/14/1993,-25.75
155,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D02/14/1993,-3.66
156,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D02/14/1993,-47
157,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D02/14/1993,7.68
158,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D02/14/1993,-20.95
159,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D02/14/1993,-38.03
160,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D02/14/1993,-64.05
161,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D02/14/1993,-8.72
162,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D02/14/1993,-30.56
163,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D02/14/1993,-27.48
164,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D02/23/1993,5.71
165,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D02/23/1993,-71.28
166,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D02/24/1993,24.2
167,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D02/24/1993,-24.75
168,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D02/24/1993,184.1
169,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D02/24/1993,-57.15
170,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D02/24/1993,-16.86
171,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D02/24/1993,-28.1
172,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D02/24/1993,-3.58
173,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D02/24/1993,3.58
174,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D02/24/1993,-16.95
175,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D02/24/1993,-52.13
176,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D02/24/1993,-57.85
177,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D02/24/1993,-23.36
178,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D02/24/1993,-70.69
179,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D02/24/1993,-74.12
180,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D02/24/1993,6.76
181,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D02/24/1993,0.88
182,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D02/24/1993,-23.16
183,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D02/24/1993,-21.68
184,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D02/25/1993,-40.69
185,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D03/05/1993,2.6
186,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D03/05/1993,-14.24
187,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D03/06/1993,26.4
188,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D03/06/1993,-23.85
189,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D03/06/1993,-42.65
190,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D03/06/1993,-12.86
191,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D03/06/1993,-56.29
192,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D03/06/1993,-60.9
193,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D03/06/1993,-7.58
194,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D03/06/1993,-31.12
195,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D03/06/1993,-57.57
196,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D03/06/1993,-8.25
197,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D03/06/1993,-60.03
198,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D03/06/1993,-43.45
199,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D03/06/1993,-16.56
200,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D03/06/1993,13.41
201,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D03/06/1993,-84.72
202,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D03/06/1993,-30.58
203,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D03/06/1993,-0.22
204,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D03/06/1993,-18.76
205,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D03/06/1993,-18.78
206,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Adriatic Sea,D03/07/1993,-57.74
207,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D03/15/1993,35.71
208,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D03/16/1993,41.9
209,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D03/16/1993,-21.75
210,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D03/16/1993,-49.65
211,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D03/16/1993,-10.26
212,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D03/16/1993,-48.29
213,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D03/16/1993,-91.9
214,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D03/16/1993,-4.88
215,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D03/16/1993,-31.72
216,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D03/16/1993,-74.27
217,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D03/16/1993,-7.35
218,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D03/16/1993,-55.43
219,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D03/16/1993,-54.05
220,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D03/16/1993,-19.76
221,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D03/16/1993,-38.59
222,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D03/16/1993,-57.42
223,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D03/16/1993,24.36
224,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D03/16/1993,-67.58
225,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D03/16/1993,2.08
226,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D03/16/1993,-19.66
227,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D03/16/1993,-19.28
228,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Yellow Sea,D03/16/1993,-48.84
