userid,recipeid,rating
127,96870,2
197,8862516,2
172,6090141,4
160,103033,3
112,4364906,1
170,5702361,3
131,96414,2
121,6090141,5
141,5148976,3
140,4422716,3
162,6016461,5
105,8862516,4
136,6361236,5
120,6452101,2
102,93580,5
149,5148976,1
113,3773471,4
106,96414,3
175,4364906,1
168,6090236,1
104,95425,4
127,6452101,3
187,98926,2
144,93855,3
174,8682301,4
166,251191,1
145,3773471,4
151,5257356,4
140,4364906,2
155,6375671,5
150,96414,4
135,6016461,2
192,251191,2
133,103135,2
134,6550021,2
154,101064,2
131,6664526,3
128,5429051,2
107,5792691,2
172,5429051,4
175,6016461,4
169,101064,3
186,96870,3
118,96897,4
101,98982,1
127,103135,3
132,98295,3
122,3414146,3
189,96073,2
188,7211001,4
101,98926,4
118,5257356,2
147,5516611,2
186,6090141,5
181,6786961,4
119,5516611,2
118,5792691,3
116,5516611,4
150,93580,2
150,6361236,2
150,251191,3
150,103135,2
150,102539,1
151,93580,2
151,6361236,2
151,251191,5
151,103135,2
151,102539,4
152,6361236,2
152,251191,2
152,103135,2
152,102539,1
160,93580,2
160,6361236,2
160,251191,4
160,103135,5
160,102539,1
170,93580,1
170,6361236,1
170,251191,3
170,103135,2
170,102539,1
190,93580,1
190,6361236,1
190,251191,3
190,103135,2
190,102539,1
108,93623,3
108,102408,3
108,96227,2
108,7211001,1
108,101064,4
108,96414,2
108,6550021,2
108,5257356,2
108,96870,1
108,8682301,3
108,99570,3
108,6090141,4
108,6090236,1
108,93580,1
108,96073,2
102,101064,5
102,96414,3
102,6550021,5
102,5257356,2
102,96870,3
102,8682301,3
102,99570,2
102,6090141,4
102,6090236,1
106,101064,4
106,96414,2
106,6550021,1
106,5257356,1
106,96870,1
106,8682301,1
106,99570,2
106,6090141,3
106,6090236,1
140,101064,4
140,96414,2
140,6550021,2
140,5257356,2
140,96870,1
140,8682301,3
140,99570,3
140,6090141,4
140,6090236,1
119,96414,2
119,6550021,1
119,5257356,1
119,96870,1
119,8682301,5
119,99570,2
119,6090141,3
119,6090236,5
111,101064,4
111,96414,2
111,6550021,2
111,5257356,5
111,96870,1
111,8682301,3
111,6090141,4
111,6090236,1
107,6375671,5
107,5516611,5
107,6361236,4
107,3414146,2
107,6664526,2
107,6090141,3
107,103033,4
107,101233,4
107,8862516,4
107,5429051,5
107,98295,2
107,98926,3
107,8862516,5
107,6993356,5
107,103033,3
107,6452101,4
107,102487,4
